date,state,city,confirmed,deaths,estimated_population_2019,confirmed_per_100k_inhabitants,death_rate
2020-12-29,AL,Carneiros,104,2,9081.0,1135.49514,0.0192
2020-12-29,AL,Chã Preta,47,1,7311.0,642.86691,0.0213
2020-12-29,AL,Coité do Nóia,200,5,10693.0,1879.16941,0.025
2020-12-29,AL,Colônia Leopoldina,260,9,21698.0,1191.6766,0.0346
2020-12-29,AL,Coqueiro Seco,325,6,5845.0,5542.29195,0.0185
2020-12-29,AL,Coruripe,2039,32,56933.0,3558.83688,0.0157
2020-12-29,AL,Craíbas,793,14,24219.0,3262.16628,0.0177
2020-12-29,AL,Delmiro Gouveia,1235,31,52016.0,2363.09364,0.0251
2020-12-29,AL,Dois Riachos,287,3,11075.0,2593.29538,0.0105
2020-12-29,AL,Estrela de Alagoas,211,5,18205.0,1155.84771,0.0237
2020-12-29,AL,Feira Grande,494,7,22166.0,2227.43259,0.0142
2020-12-29,AL,Feliz Deserto,100,4,4754.0,2092.48797,0.04
2020-12-29,AL,Flexeiras,344,7,12790.0,2686.03108,0.0203
2020-12-29,AL,Girau do Ponciano,1397,21,40917.0,3387.7343200000005,0.015
2020-12-29,AL,Ibateguara,451,10,15616.0,2886.03059,0.0222
2020-12-29,AL,Igaci,283,3,25631.0,1104.90766,0.0106
2020-12-29,AL,Igreja Nova,620,9,24499.0,2521.76035,0.0145
2020-12-29,AL,Importados/Indefinidos,8,8,,,1.0
2020-12-29,AL,Inhapi,76,3,18385.0,413.22314,0.0395
2020-12-29,AL,Jacaré dos Homens,124,1,5253.0,2375.93409,0.0081
2020-12-29,AL,Jacuípe,68,2,7021.0,970.59663,0.0294
2020-12-29,AL,Japaratinga,174,5,8361.0,2070.68904,0.0287
2020-12-29,AL,Jaramataia,61,1,5770.0,1058.84395,0.0164
2020-12-29,AL,Jequiá da Praia,392,9,11580.0,3398.05825,0.023
2020-12-29,AL,Joaquim Gomes,616,16,23993.0,2558.0333,0.026000000000000002
2020-12-29,AL,Jundiá,48,3,4155.0,1160.26106,0.0625
2020-12-29,AL,Junqueiro,588,20,24727.0,2378.44835,0.034
2020-12-29,AL,Lagoa da Canoa,596,12,17852.0,3353.77863,0.0201
2020-12-29,AL,Limoeiro de Anadia,576,16,28635.0,2002.01592,0.0278
2020-12-29,AL,Maceió,35921,1084,1018948.0,3503.25739,0.0302
2020-12-29,AL,Major Isidoro,448,9,19804.0,2255.33629,0.0201
2020-12-29,AL,Mar Vermelho,28,1,3514.0,801.37378,0.0357
2020-12-29,AL,Maragogi,547,17,32704.0,1655.96997,0.0311
2020-12-29,AL,Maravilha,103,4,9163.0,1143.93603,0.0388
2020-12-29,AL,Marechal Deodoro,2965,39,51901.0,5660.55746,0.0132
2020-12-29,AL,Maribondo,364,14,13264.0,2759.03888,0.0385
2020-12-29,AL,Mata Grande,219,5,25216.0,868.8062800000001,0.0228
2020-12-29,AL,Matriz de Camaragibe,1132,23,24642.0,4595.2748200000015,0.0203
2020-12-29,AL,Messias,677,21,17856.0,3754.64478,0.031
2020-12-29,AL,Minador do Negrão,100,3,5329.0,1878.99286,0.03
2020-12-29,AL,Monteirópolis,141,1,7159.0,1967.89951,0.0071
2020-12-29,AL,Murici,466,23,28236.0,1644.72523,0.0494
2020-12-29,AL,Novo Lino,115,8,12690.0,900.97148,0.0696
2020-12-29,AL,Olho d'Água Grande,147,4,5123.0,2866.61466,0.0272
2020-12-29,AL,Olho d'Água das Flores,1182,16,21688.0,5437.48275,0.0135
2020-12-29,AL,Olho d'Água do Casado,50,2,9373.0,529.60491,0.04
2020-12-29,AL,Olivença,182,3,11624.0,1561.29364,0.0165
2020-12-29,AL,Ouro Branco,102,5,11496.0,884.2652800000002,0.049
2020-12-29,AL,Palestina,308,3,5011.0,6114.75084,0.0097
2020-12-29,AL,Palmeira dos Índios,2179,45,73218.0,2971.21508,0.0207
2020-12-29,AL,Pariconha,214,1,10533.0,2030.55318,0.0047
2020-12-29,AL,Paripueira,200,11,13176.0,1500.1500199999996,0.055
2020-12-29,AL,Passo de Camaragibe,381,11,15245.0,2497.05073,0.0289
2020-12-29,AL,Paulo Jacinto,200,8,7564.0,2645.50265,0.04
2020-12-29,AL,Penedo,1754,24,63683.0,2747.23554,0.0137
2020-12-29,AL,Piaçabuçu,449,14,17827.0,2515.6880300000007,0.0312
2020-12-29,AL,Pilar,1563,28,35111.0,4438.8276700000015,0.0179
2020-12-29,AL,Pindoba,80,1,2908.0,2753.8726300000008,0.0125
2020-12-29,AL,Piranhas,312,7,25039.0,1238.93102,0.0224
2020-12-29,AL,Porto Calvo,800,18,27165.0,2935.88756,0.0225
2020-12-29,AL,Porto Real do Colégio,439,8,20066.0,2182.77645,0.0182
2020-12-29,AL,Porto de Pedras,162,3,7786.0,2103.62291,0.0185
2020-12-29,AL,Poço das Trincheiras,121,3,14386.0,839.22874,0.0248
2020-12-29,AL,Pão de Açúcar,945,9,24399.0,3880.74412,0.0095
2020-12-29,AL,Quebrangulo,446,4,11294.0,3965.14936,0.009000000000000001
2020-12-29,AL,Rio Largo,1466,69,75120.0,1944.4518100000007,0.0471
2020-12-29,AL,Roteiro,163,9,6664.0,2451.49647,0.0552
2020-12-29,AL,Santa Luzia do Norte,253,5,7296.0,3456.28415,0.0198
2020-12-29,AL,Santana do Ipanema,2275,32,47654.0,4757.52316,0.0141
2020-12-29,AL,Santana do Mundaú,318,6,10740.0,2975.5778,0.0189
2020-12-29,AL,Satuba,538,18,13828.0,3860.50517,0.0335
2020-12-29,AL,Senador Rui Palmeira,127,4,13870.0,912.29078,0.0315
2020-12-29,AL,São Brás,264,0,6961.0,3788.20491,0.0
2020-12-29,AL,São José da Laje,727,12,23927.0,3029.671610000001,0.0165
2020-12-29,AL,São José da Tapera,899,17,32260.0,2774.26323,0.0189
2020-12-29,AL,São Luís do Quitunde,883,20,34555.0,2545.25539,0.0227
2020-12-29,AL,São Miguel dos Campos,2251,41,61251.0,3642.57165,0.0182
2020-12-29,AL,São Miguel dos Milagres,128,6,7951.0,1597.40422,0.0469
2020-12-29,AL,São Sebastião,865,17,34152.0,2522.60134,0.0197
2020-12-29,AL,Tanque d'Arca,158,3,6162.0,2574.12838,0.019
2020-12-29,AL,Taquarana,299,6,19980.0,1489.63731,0.0201
2020-12-29,AL,Teotônio Vilela,1357,38,44169.0,3058.23492,0.027999999999999997
2020-12-29,AL,Traipu,286,8,27715.0,1027.81571,0.027999999999999997
2020-12-29,AL,União dos Palmares,1120,50,65611.0,1702.38638,0.0446
2020-12-29,AL,Viçosa,508,10,25733.0,1977.19223,0.0197
